,year,iso2,variable,value
87408,1982,CA,new_sp_f2534,57.0
110484,1982,CA,new_sp_f65,80.0
98946,1982,CA,new_sp_f4554,25.0
29889,1982,CK,new_sp_m2534,0.0
110655,1982,CK,new_sp_f65,0.0
52965,1982,CK,new_sp_m65,1.0
3355,1982,MN,new_sp,0.0
75870,1982,CA,new_sp_f014,7.0
93177,1982,CA,new_sp_f3544,30.0
104886,1982,CK,new_sp_f5564,0.0
52794,1982,CA,new_sp_m65,150.0
1044,1982,CK,new_sp,12.0
23949,1982,CA,new_sp_m1524,52.0
76041,1982,CK,new_sp_f014,0.0
104715,1982,CA,new_sp_f5564,38.0
41427,1982,CK,new_sp_m4554,2.0
81639,1982,CA,new_sp_f1524,51.0
873,1982,CA,new_sp,812.0
18351,1982,CK,new_sp_m014,0.0
93348,1982,CK,new_sp_f3544,3.0
29718,1982,CA,new_sp_m2534,66.0
93349,1983,CK,new_sp_f3544,3.0
29890,1983,CK,new_sp_m2534,1.0
110485,1983,CA,new_sp_f65,86.0
47026,1983,CA,new_sp_m5564,92.0
110656,1983,CK,new_sp_f65,0.0
18352,1983,CK,new_sp_m014,0.0
29719,1983,CA,new_sp_m2534,63.0
75871,1983,CA,new_sp_f014,11.0
41257,1983,CA,new_sp_m4554,90.0
47197,1983,CK,new_sp_m5564,1.0
23950,1983,CA,new_sp_m1524,47.0
24121,1983,CK,new_sp_m1524,2.0
35488,1983,CA,new_sp_m3544,62.0
41428,1983,CK,new_sp_m4554,0.0
93178,1983,CA,new_sp_f3544,29.0
81811,1983,CK,new_sp_f1524,4.0
1045,1983,CK,new_sp,15.0
81640,1983,CA,new_sp_f1524,50.0
76042,1983,CK,new_sp_f014,0.0
5273,1983,TZ,new_sp,6651.0
87409,1983,CA,new_sp_f2534,50.0
18181,1983,CA,new_sp_m014,9.0
104716,1983,CA,new_sp_f5564,35.0
104887,1983,CK,new_sp_f5564,2.0
35659,1983,CK,new_sp_m3544,0.0
52795,1983,CA,new_sp_m65,123.0
3356,1983,MN,new_sp,0.0
52966,1983,CK,new_sp_m65,1.0
87580,1983,CK,new_sp_f2534,0.0
99118,1983,CK,new_sp_f4554,1.0
874,1983,CA,new_sp,771.0
98947,1983,CA,new_sp_f4554,24.0
875,1984,CA,new_sp,811.0
5274,1984,TZ,new_sp,7520.0
93179,1984,CA,new_sp_f3544,28.0
75872,1984,CA,new_sp_f014,9.0
93350,1984,CK,new_sp_f3544,0.0
104888,1984,CK,new_sp_f5564,0.0
2945,1984,LK,new_sp,2608.0
35660,1984,CK,new_sp_m3544,0.0
35489,1984,CA,new_sp_m3544,58.0
29720,1984,CA,new_sp_m2534,75.0
52796,1984,CA,new_sp_m65,169.0
87410,1984,CA,new_sp_f2534,59.0
1046,1984,CK,new_sp,3.0
41429,1984,CK,new_sp_m4554,1.0
104717,1984,CA,new_sp_f5564,36.0
76043,1984,CK,new_sp_f014,0.0
1686,1984,FJ,new_sp,82.0
18353,1984,CK,new_sp_m014,0.0
3357,1984,MN,new_sp,0.0
81812,1984,CK,new_sp_f1524,0.0
87581,1984,CK,new_sp_f2534,0.0
110657,1984,CK,new_sp_f65,0.0
99119,1984,CK,new_sp_f4554,0.0
110486,1984,CA,new_sp_f65,100.0
23951,1984,CA,new_sp_m1524,44.0
81641,1984,CA,new_sp_f1524,51.0
18182,1984,CA,new_sp_m014,3.0
41258,1984,CA,new_sp_m4554,68.0
98948,1984,CA,new_sp_f4554,28.0
47198,1984,CK,new_sp_m5564,0.0
52967,1984,CK,new_sp_m65,1.0
47027,1984,CA,new_sp_m5564,83.0
24122,1984,CK,new_sp_m1524,0.0
29891,1984,CK,new_sp_m2534,1.0
29721,1985,CA,new_sp_m2534,70.0
3580,1985,MW,new_sp,2277.0
18354,1985,CK,new_sp_m014,1.0
47199,1985,CK,new_sp_m5564,1.0
52968,1985,CK,new_sp_m65,0.0
104889,1985,CK,new_sp_f5564,1.0
1687,1985,FJ,new_sp,99.0
93351,1985,CK,new_sp_f3544,0.0
3358,1985,MN,new_sp,0.0
75873,1985,CA,new_sp_f014,5.0
87582,1985,CK,new_sp_f2534,1.0
87411,1985,CA,new_sp_f2534,56.0
99120,1985,CK,new_sp_f4554,0.0
81642,1985,CA,new_sp_f1524,30.0
29892,1985,CK,new_sp_m2534,0.0
52797,1985,CA,new_sp_m65,168.0
47028,1985,CA,new_sp_m5564,81.0
1047,1985,CK,new_sp,8.0
110658,1985,CK,new_sp_f65,0.0
41430,1985,CK,new_sp_m4554,2.0
76044,1985,CK,new_sp_f014,0.0
24123,1985,CK,new_sp_m1524,0.0
110487,1985,CA,new_sp_f65,97.0
23952,1985,CA,new_sp_m1524,42.0
5275,1985,TZ,new_sp,8020.0
2946,1985,LK,new_sp,1935.0
104718,1985,CA,new_sp_f5564,48.0
35661,1985,CK,new_sp_m3544,1.0
81813,1985,CK,new_sp_f1524,1.0
876,1985,CA,new_sp,791.0
41259,1985,CA,new_sp_m4554,77.0
93180,1985,CA,new_sp_f3544,19.0
35490,1985,CA,new_sp_m3544,59.0
98949,1985,CA,new_sp_f4554,28.0
18183,1985,CA,new_sp_m014,11.0
52798,1986,CA,new_sp_m65,147.0
5276,1986,TZ,new_sp,8560.0
29893,1986,CK,new_sp_m2534,0.0
1048,1986,CK,new_sp,3.0
18184,1986,CA,new_sp_m014,9.0
81643,1986,CA,new_sp_f1524,33.0
98950,1986,CA,new_sp_f4554,20.0
47029,1986,CA,new_sp_m5564,73.0
87583,1986,CK,new_sp_f2534,0.0
76045,1986,CK,new_sp_f014,1.0
87412,1986,CA,new_sp_f2534,54.0
3359,1986,MN,new_sp,0.0
41260,1986,CA,new_sp_m4554,59.0
2947,1986,LK,new_sp,2360.0
104719,1986,CA,new_sp_f5564,26.0
75874,1986,CA,new_sp_f014,10.0
24124,1986,CK,new_sp_m1524,1.0
110488,1986,CA,new_sp_f65,95.0
18355,1986,CK,new_sp_m014,0.0
93181,1986,CA,new_sp_f3544,33.0
47200,1986,CK,new_sp_m5564,0.0
3581,1986,MW,new_sp,2874.0
877,1986,CA,new_sp,752.0
1688,1986,FJ,new_sp,86.0
104890,1986,CK,new_sp_f5564,0.0
52969,1986,CK,new_sp_m65,0.0
35662,1986,CK,new_sp_m3544,0.0
93352,1986,CK,new_sp_f3544,0.0
81814,1986,CK,new_sp_f1524,0.0
29722,1986,CA,new_sp_m2534,73.0
99121,1986,CK,new_sp_f4554,0.0
23953,1986,CA,new_sp_m1524,58.0
35491,1986,CA,new_sp_m3544,62.0
110659,1986,CK,new_sp_f65,0.0
41431,1986,CK,new_sp_m4554,0.0
18356,1987,CK,new_sp_m014,0.0
110660,1987,CK,new_sp_f65,0.0
47030,1987,CA,new_sp_m5564,64.0
3360,1987,MN,new_sp,0.0
87584,1987,CK,new_sp_f2534,0.0
1689,1987,FJ,new_sp,75.0
104720,1987,CA,new_sp_f5564,26.0
24125,1987,CK,new_sp_m1524,0.0
99122,1987,CK,new_sp_f4554,0.0
75875,1987,CA,new_sp_f014,8.0
1049,1987,CK,new_sp,2.0
76046,1987,CK,new_sp_f014,1.0
35492,1987,CA,new_sp_m3544,60.0
5277,1987,TZ,new_sp,9272.0
110489,1987,CA,new_sp_f65,79.0
29723,1987,CA,new_sp_m2534,71.0
2948,1987,LK,new_sp,2557.0
41261,1987,CA,new_sp_m4554,49.0
52970,1987,CK,new_sp_m65,0.0
47201,1987,CK,new_sp_m5564,0.0
93182,1987,CA,new_sp_f3544,29.0
878,1987,CA,new_sp,668.0
52799,1987,CA,new_sp_m65,129.0
81815,1987,CK,new_sp_f1524,0.0
35663,1987,CK,new_sp_m3544,1.0
104891,1987,CK,new_sp_f5564,0.0
18185,1987,CA,new_sp_m014,9.0
93353,1987,CK,new_sp_f3544,0.0
98951,1987,CA,new_sp_f4554,17.0
23954,1987,CA,new_sp_m1524,40.0
87413,1987,CA,new_sp_f2534,48.0
81644,1987,CA,new_sp_f1524,39.0
41432,1987,CK,new_sp_m4554,0.0
2573,1987,KE,new_sp,5900.0
29894,1987,CK,new_sp_m2534,0.0
3582,1987,MW,new_sp,3269.0
104721,1988,CA,new_sp_f5564,26.0
110490,1988,CA,new_sp_f65,80.0
23955,1988,CA,new_sp_m1524,43.0
41262,1988,CA,new_sp_m4554,52.0
5638,1988,YE,new_sp,0.0
1690,1988,FJ,new_sp,65.0
879,1988,CA,new_sp,682.0
29724,1988,CA,new_sp_m2534,73.0
3583,1988,MW,new_sp,3166.0
18186,1988,CA,new_sp_m014,4.0
47031,1988,CA,new_sp_m5564,68.0
98952,1988,CA,new_sp_f4554,16.0
75876,1988,CA,new_sp_f014,6.0
87414,1988,CA,new_sp_f2534,56.0
93183,1988,CA,new_sp_f3544,27.0
81645,1988,CA,new_sp_f1524,38.0
2373,1988,IQ,new_sp,1550.0
5278,1988,TZ,new_sp,10038.0
2574,1988,KE,new_sp,6400.0
52800,1988,CA,new_sp_m65,131.0
35493,1988,CA,new_sp_m3544,62.0
3361,1988,MN,new_sp,0.0
1050,1988,CK,new_sp,0.0
2949,1988,LK,new_sp,2764.0
35494,1989,CA,new_sp_m3544,60.0
52972,1989,CK,new_sp_m65,1.0
5639,1989,YE,new_sp,0.0
110491,1989,CA,new_sp_f65,81.0
98953,1989,CA,new_sp_f4554,24.0
76048,1989,CK,new_sp_f014,1.0
35665,1989,CK,new_sp_m3544,0.0
52801,1989,CA,new_sp_m65,122.0
81817,1989,CK,new_sp_f1524,0.0
1051,1989,CK,new_sp,2.0
880,1989,CA,new_sp,652.0
2374,1989,IQ,new_sp,1231.0
81646,1989,CA,new_sp_f1524,37.0
99124,1989,CK,new_sp_f4554,0.0
18358,1989,CK,new_sp_m014,0.0
3362,1989,MN,new_sp,0.0
93184,1989,CA,new_sp_f3544,23.0
2575,1989,KE,new_sp,6600.0
24127,1989,CK,new_sp_m1524,0.0
41434,1989,CK,new_sp_m4554,0.0
1691,1989,FJ,new_sp,76.0
87415,1989,CA,new_sp_f2534,51.0
29725,1989,CA,new_sp_m2534,56.0
75877,1989,CA,new_sp_f014,6.0
18187,1989,CA,new_sp_m014,10.0
93355,1989,CK,new_sp_f3544,0.0
3584,1989,MW,new_sp,3546.0
2950,1989,LK,new_sp,2474.0
104893,1989,CK,new_sp_f5564,0.0
87586,1989,CK,new_sp_f2534,0.0
47032,1989,CA,new_sp_m5564,62.0
23956,1989,CA,new_sp_m1524,45.0
5279,1989,TZ,new_sp,10479.0
41263,1989,CA,new_sp_m4554,54.0
47203,1989,CK,new_sp_m5564,0.0
29896,1989,CK,new_sp_m2534,0.0
104722,1989,CA,new_sp_f5564,21.0
110662,1989,CK,new_sp_f65,0.0
2576,1990,KE,new_sp,6800.0
4343,1990,PY,new_sp,993.0
81647,1990,CA,new_sp_f1524,30.0
41264,1990,CA,new_sp_m4554,40.0
29726,1990,CA,new_sp_m2534,70.0
18188,1990,CA,new_sp_m014,3.0
75878,1990,CA,new_sp_f014,1.0
104723,1990,CA,new_sp_f5564,20.0
87416,1990,CA,new_sp_f2534,38.0
35495,1990,CA,new_sp_m3544,55.0
2375,1990,IQ,new_sp,1587.0
5280,1990,TZ,new_sp,11553.0
3585,1990,MW,new_sp,4301.0
1052,1990,CK,new_sp,0.0
1692,1990,FJ,new_sp,84.0
23957,1990,CA,new_sp_m1524,35.0
93185,1990,CA,new_sp_f3544,26.0
2951,1990,LK,new_sp,2769.0
881,1990,CA,new_sp,549.0
47033,1990,CA,new_sp_m5564,42.0
110492,1990,CA,new_sp_f65,72.0
3363,1990,MN,new_sp,0.0
5640,1990,YE,new_sp,0.0
52802,1990,CA,new_sp_m65,100.0
98954,1990,CA,new_sp_f4554,17.0
52974,1991,CK,new_sp_m65,0.0
98955,1991,CA,new_sp_f4554,9.0
35496,1991,CA,new_sp_m3544,53.0
4344,1991,PY,new_sp,943.0
29727,1991,CA,new_sp_m2534,79.0
24129,1991,CK,new_sp_m1524,0.0
5641,1991,YE,new_sp,0.0
47205,1991,CK,new_sp_m5564,0.0
47034,1991,CA,new_sp_m5564,36.0
5281,1991,TZ,new_sp,12008.0
29898,1991,CK,new_sp_m2534,0.0
18189,1991,CA,new_sp_m014,7.0
2952,1991,LK,new_sp,3023.0
35667,1991,CK,new_sp_m3544,0.0
87417,1991,CA,new_sp_f2534,37.0
1693,1991,FJ,new_sp,75.0
52803,1991,CA,new_sp_m65,110.0
41265,1991,CA,new_sp_m4554,37.0
18360,1991,CK,new_sp_m014,0.0
99126,1991,CK,new_sp_f4554,0.0
2376,1991,IQ,new_sp,1512.0
2577,1991,KE,new_sp,7000.0
87588,1991,CK,new_sp_f2534,0.0
110664,1991,CK,new_sp_f65,0.0
41436,1991,CK,new_sp_m4554,0.0
23958,1991,CA,new_sp_m1524,37.0
1053,1991,CK,new_sp,1.0
104895,1991,CK,new_sp_f5564,0.0
75879,1991,CA,new_sp_f014,4.0
81819,1991,CK,new_sp_f1524,1.0
882,1991,CA,new_sp,543.0
93357,1991,CK,new_sp_f3544,0.0
104724,1991,CA,new_sp_f5564,20.0
110493,1991,CA,new_sp_f65,60.0
93186,1991,CA,new_sp_f3544,31.0
76050,1991,CK,new_sp_f014,0.0
3586,1991,MW,new_sp,4059.0
81648,1991,CA,new_sp_f1524,23.0
87589,1992,CK,new_sp_f2534,0.0
47206,1992,CK,new_sp_m5564,2.0
2953,1992,LK,new_sp,3218.0
87418,1992,CA,new_sp_f2534,28.0
47035,1992,CA,new_sp_m5564,51.0
29899,1992,CK,new_sp_m2534,0.0
3365,1992,MN,new_sp,0.0
3587,1992,MW,new_sp,4630.0
24130,1992,CK,new_sp_m1524,0.0
18190,1992,CA,new_sp_m014,6.0
104896,1992,CK,new_sp_f5564,1.0
52975,1992,CK,new_sp_m65,0.0
98956,1992,CA,new_sp_f4554,11.0
99127,1992,CK,new_sp_f4554,0.0
52804,1992,CA,new_sp_m65,79.0
883,1992,CA,new_sp,506.0
110494,1992,CA,new_sp_f65,78.0
35668,1992,CK,new_sp_m3544,0.0
93187,1992,CA,new_sp_f3544,21.0
93358,1992,CK,new_sp_f3544,1.0
75880,1992,CA,new_sp_f014,2.0
41437,1992,CK,new_sp_m4554,1.0
2578,1992,KE,new_sp,7700.0
104725,1992,CA,new_sp_f5564,15.0
76051,1992,CK,new_sp_f014,0.0
81649,1992,CA,new_sp_f1524,27.0
23959,1992,CA,new_sp_m1524,42.0
18361,1992,CK,new_sp_m014,0.0
41266,1992,CA,new_sp_m4554,41.0
1694,1992,FJ,new_sp,75.0
110665,1992,CK,new_sp_f65,1.0
81820,1992,CK,new_sp_f1524,0.0
2377,1992,IQ,new_sp,2304.0
4345,1992,PY,new_sp,862.0
5282,1992,TZ,new_sp,13510.0
29728,1992,CA,new_sp_m2534,47.0
35497,1992,CA,new_sp_m3544,58.0
5642,1992,YE,new_sp,0.0
2121,1992,HK,new_sp,0.0
1054,1992,CK,new_sp,6.0
24131,1993,CK,new_sp_m1524,0.0
104897,1993,CK,new_sp_f5564,1.0
75881,1993,CA,new_sp_f014,6.0
5283,1993,TZ,new_sp,15569.0
1169,1993,CO,new_sp,6987.0
4992,1993,TG,new_sp,545.0
4490,1993,SA,new_sp,800.0
1337,1993,DE,new_sp,4730.0
1113,1993,CM,new_sp,2316.0
23960,1993,CA,new_sp_m1524,33.0
5170,1993,TO,new_sp,16.0
1936,1993,GN,new_sp,2082.0
1504,1993,EC,new_sp,5325.0
1084,1993,CL,new_sp,2629.0
5454,1993,VC,new_sp,11.0
1695,1993,FJ,new_sp,61.0
5368,1993,US,new_sp,9429.0
1055,1993,CK,new_sp,5.0
1308,1993,CZ,new_sp,548.0
5339,1993,UG,new_sp,11949.0
5312,1993,UA,new_sp,8314.0
35669,1993,CK,new_sp_m3544,0.0
1140,1993,CN,new_sp,84898.0
1533,1993,EE,new_sp,303.0
4600,1993,SE,new_sp,312.0
1837,1993,GD,new_sp,0.0
4629,1993,SG,new_sp,513.0
1808,1993,GB,new_sp,283.0
1227,1993,CU,new_sp,565.0
1447,1993,DO,new_sp,2297.0
5483,1993,VE,new_sp,2849.0
99128,1993,CK,new_sp_f4554,0.0
4658,1993,SI,new_sp,361.0
1422,1993,DM,new_sp,6.0
997,1993,CH,new_sp,528.0
5397,1993,UY,new_sp,388.0
4687,1993,SK,new_sp,882.0
1751,1993,FR,new_sp,4455.0
5113,1993,TM,new_sp,472.0
52976,1993,CK,new_sp_m65,0.0
5255,1993,TV,new_sp,2.0
5141,1993,TN,new_sp,1006.0
76052,1993,CK,new_sp_f014,0.0
4864,1993,SV,new_sp,2471.0
4545,1993,SC,new_sp,2.0
1364,1993,DJ,new_sp,1668.0
4518,1993,SB,new_sp,155.0
1026,1993,CI,new_sp,7012.0
1393,1993,DK,new_sp,243.0
4,1993,AD,new_sp,15.0
913,1993,CD,new_sp,14924.0
3812,1993,NI,new_sp,1714.0
2716,1993,KN,new_sp,2.0
93188,1993,CA,new_sp_f3544,22.0
2666,1993,KI,new_sp,99.0
93359,1993,CK,new_sp_f3544,0.0
430,1993,BD,new_sp,18993.0
3841,1993,NL,new_sp,1063.0
3898,1993,NP,new_sp,6679.0
41438,1993,CK,new_sp_m4554,2.0
2579,1993,KE,new_sp,10149.0
459,1993,BE,new_sp,484.0
52805,1993,CA,new_sp_m65,74.0
2552,1993,JP,new_sp,17890.0
3948,1993,NU,new_sp,0.0
2523,1993,JO,new_sp,173.0
3977,1993,NZ,new_sp,91.0
2494,1993,JM,new_sp,83.0
18362,1993,CK,new_sp_m014,0.0
4006,1993,OM,new_sp,123.0
41267,1993,CA,new_sp_m4554,43.0
545,1993,BH,new_sp,82.0
110666,1993,CK,new_sp_f65,0.0
4035,1993,PA,new_sp,1046.0
573,1993,BI,new_sp,1861.0
81821,1993,CK,new_sp_f1524,0.0
4064,1993,PE,new_sp,35646.0
110495,1993,CA,new_sp_f65,55.0
602,1993,BJ,new_sp,1653.0
657,1993,BN,new_sp,68.0
345,1993,AZ,new_sp,499.0
29729,1993,CA,new_sp_m2534,47.0
2759,1993,KR,new_sp,16630.0
3783,1993,NG,new_sp,1723.0
87590,1993,CK,new_sp_f2534,1.0
3264,1993,MH,new_sp,12.0
3237,1993,MG,new_sp,6881.0
3366,1993,MN,new_sp,0.0
3204,1993,MD,new_sp,615.0
87419,1993,CA,new_sp_f2534,50.0
3395,1993,MO,new_sp,108.0
3095,1993,LV,new_sp,470.0
3501,1993,MT,new_sp,13.0
3037,1993,LT,new_sp,688.0
3559,1993,MV,new_sp,126.0
3008,1993,LS,new_sp,1405.0
2979,1993,LR,new_sp,1547.0
3588,1993,MW,new_sp,5692.0
2378,1993,IQ,new_sp,5240.0
2954,1993,LK,new_sp,3335.0
200,1993,AO,new_sp,4874.0
3646,1993,MY,new_sp,6954.0
18191,1993,CA,new_sp_m014,8.0
3675,1993,MZ,new_sp,9526.0
229,1993,AR,new_sp,5937.0
29900,1993,CK,new_sp_m2534,0.0
258,1993,AS,new_sp,1.0
47036,1993,CA,new_sp_m5564,33.0
3727,1993,NC,new_sp,16.0
2817,1993,KY,new_sp,2.0
47207,1993,CK,new_sp_m5564,0.0
3754,1993,NE,new_sp,463.0
316,1993,AU,new_sp,557.0
2788,1993,KW,new_sp,148.0
3617,1993,MX,new_sp,8164.0
683,1993,BO,new_sp,6833.0
104726,1993,CA,new_sp_f5564,21.0
81650,1993,CA,new_sp_f1524,22.0
4236,1993,PR,new_sp,122.0
2234,1993,HU,new_sp,1905.0
4318,1993,PW,new_sp,8.0
2151,1993,HN,new_sp,2016.0
2122,1993,HK,new_sp,2429.0
797,1993,BW,new_sp,1508.0
5643,1993,YE,new_sp,0.0
2262,1993,ID,new_sp,62966.0
35498,1993,CA,new_sp_m3544,53.0
826,1993,BY,new_sp,1493.0
2093,1993,GY,new_sp,51.0
5622,1993,WS,new_sp,21.0
855,1993,BZ,new_sp,50.0
2012,1993,GT,new_sp,2128.0
98957,1993,CA,new_sp_f4554,21.0
884,1993,CA,new_sp,488.0
4403,1993,RO,new_sp,9339.0
740,1993,BS,new_sp,41.0
4346,1993,PY,new_sp,985.0
4208,1993,PL,new_sp,7606.0
2349,1993,IN,new_sp,225256.0
4179,1993,PK,new_sp,11020.0
5753,1993,ZW,new_sp,5331.0
4151,1993,PH,new_sp,92279.0
2320,1993,IL,new_sp,150.0
35499,1994,CA,new_sp_m3544,42.0
3618,1994,MX,new_sp,9726.0
24772,1994,FJ,new_sp_m1524,8.0
78364,1994,MN,new_sp_f014,10.0
99129,1994,CK,new_sp_f4554,0.0
1394,1994,DK,new_sp,120.0
2955,1994,LK,new_sp,3405.0
3589,1994,MW,new_sp,5988.0
5142,1994,TN,new_sp,983.0
1423,1994,DM,new_sp,8.0
1448,1994,DO,new_sp,3177.0
5079,1994,TK,new_sp,0.0
1365,1994,DJ,new_sp,1743.0
2926,1994,LC,new_sp,17.0
1476,1994,DZ,new_sp,6793.0
3647,1994,MY,new_sp,6861.0
2898,1994,LB,new_sp,148.0
1937,1994,GN,new_sp,2158.0
18192,1994,CA,new_sp_m014,2.0
4152,1994,PH,new_sp,87401.0
3676,1994,MZ,new_sp,9677.0
29901,1994,CK,new_sp_m2534,0.0
2321,1994,IL,new_sp,129.0
5022,1994,TH,new_sp,20260.0
4761,1994,SN,new_sp,4599.0
37981,1994,MN,new_sp_m3544,25.0
4404,1994,RO,new_sp,10385.0
4209,1994,PL,new_sp,4000.0
81822,1994,CK,new_sp_f1524,0.0
3309,1994,ML,new_sp,1740.0
88231,1994,FJ,new_sp_f2534,6.0
87591,1994,CK,new_sp_f2534,0.0
2350,1994,IN,new_sp,226543.0
98958,1994,CA,new_sp_f4554,11.0
3338,1994,MM,new_sp,946.0
3238,1994,MG,new_sp,7366.0
2379,1994,IQ,new_sp,5781.0
95671,1994,MN,new_sp_f3544,13.0
3367,1994,MN,new_sp,145.0
3205,1994,MD,new_sp,704.0
2013,1994,GT,new_sp,1994.0
87420,1994,CA,new_sp_f2534,37.0
4094,1994,PF,new_sp,38.0
1338,1994,DE,new_sp,4177.0
2040,1994,GU,new_sp,40.0
3476,1994,MS,new_sp,0.0
4437,1994,RU,new_sp,30389.0
30541,1994,FJ,new_sp_m2534,6.0
3502,1994,MT,new_sp,6.0
89902,1994,MN,new_sp_f2534,24.0
32212,1994,MN,new_sp_m2534,40.0
2408,1994,IR,new_sp,4615.0
4065,1994,PE,new_sp,33925.0
3560,1994,MV,new_sp,125.0
3009,1994,LS,new_sp,1330.0
55288,1994,MN,new_sp_m65,1.0
2094,1994,GY,new_sp,61.0
5171,1994,TO,new_sp,17.0
2152,1994,HN,new_sp,2385.0
3728,1994,NC,new_sp,28.0
3871,1994,NO,new_sp,86.0
2609,1994,KG,new_sp,681.0
2235,1994,HU,new_sp,1357.0
3899,1994,NP,new_sp,10442.0
2580,1994,KE,new_sp,11324.0
4783,1994,SO,new_sp,1168.0
4659,1994,SI,new_sp,294.0
1781,1994,GA,new_sp,395.0
101440,1994,MN,new_sp_f4554,8.0
76693,1994,FJ,new_sp_f014,0.0
4237,1994,PR,new_sp,139.0
3925,1994,NR,new_sp,2.0
2553,1994,JP,new_sp,16770.0
4036,1994,PA,new_sp,748.0
3949,1994,NU,new_sp,0.0
2524,1994,JO,new_sp,161.0
4688,1994,SK,new_sp,409.0
1752,1994,FR,new_sp,3196.0
3978,1994,NZ,new_sp,61.0
2495,1994,JM,new_sp,61.0
2263,1994,ID,new_sp,49647.0
4716,1994,SL,new_sp,1408.0
82462,1994,FJ,new_sp_f1524,4.0
18363,1994,CK,new_sp_m014,0.0
76053,1994,CK,new_sp_f014,1.0
4007,1994,OM,new_sp,135.0
2466,1994,IT,new_sp,1441.0
2638,1994,KH,new_sp,11058.0
2437,1994,IS,new_sp,6.0
93360,1994,CK,new_sp_f3544,0.0
1809,1994,GB,new_sp,270.0
4519,1994,SB,new_sp,114.0
4347,1994,PY,new_sp,873.0
1893,1994,GH,new_sp,5778.0
99769,1994,FJ,new_sp_f4554,6.0
1505,1994,EC,new_sp,6674.0
3755,1994,NE,new_sp,1865.0
2789,1994,KW,new_sp,155.0
4572,1994,SD,new_sp,3728.0
81651,1994,CA,new_sp_f1524,37.0
84133,1994,MN,new_sp_f1524,27.0
2760,1994,KR,new_sp,13266.0
4319,1994,PW,new_sp,11.0
29730,1994,CA,new_sp_m2534,54.0
35670,1994,CK,new_sp_m3544,0.0
4601,1994,SE,new_sp,106.0
1696,1994,FJ,new_sp,62.0
1534,1994,EE,new_sp,347.0
1563,1994,EG,new_sp,1811.0
4865,1994,SV,new_sp,2144.0
3813,1994,NI,new_sp,1615.0
